,hubmap_id,group_name,dataset_type
342,HBM233.DDWS.858,Stanford TMC,LC-MS
343,HBM947.XPXC.788,Stanford TMC,LC-MS
344,HBM472.JBTD.782,Stanford TMC,LC-MS
345,HBM588.GSHN.453,Stanford TMC,
346,HBM589.RBJF.235,Stanford TMC,
347,HBM873.BRSQ.589,Stanford TMC,LC-MS
348,HBM375.BPSK.533,Stanford TMC,LC-MS
349,HBM769.QVLZ.432,Stanford TMC,Histology [Image Pyramid]
350,HBM975.DJNJ.667,Stanford TMC,ATACseq
351,HBM233.NWVM.596,Stanford TMC,LC-MS
352,HBM847.HRHF.876,Stanford TMC,LC-MS
353,HBM953.VVQN.686,Stanford TMC,LC-MS
354,HBM554.GLCH.444,Stanford TMC,LC-MS
355,HBM388.DVMT.263,Stanford TMC,LC-MS
356,HBM737.WJPM.259,Stanford TMC,Histology
357,HBM488.SDDC.876,Stanford TMC,ATACseq [BWA + MACS2]
358,HBM575.TBQV.552,Stanford TMC,
359,HBM457.NMGW.798,Stanford TMC,LC-MS
360,HBM752.ZDVQ.683,Stanford TMC,LC-MS
361,HBM573.VSCW.874,Stanford TMC,ATACseq [SnapATAC]
362,HBM344.XDFQ.434,Stanford TMC,LC-MS
363,HBM243.MDKC.479,Stanford TMC,LC-MS
364,HBM536.BPMN.923,Stanford TMC,LC-MS
365,HBM929.PRKH.522,Stanford TMC,CODEX [Cytokit + SPRM]
366,HBM667.ZWGS.745,Stanford TMC,ATACseq
367,HBM343.MNRJ.754,Stanford TMC,ATACseq [SnapATAC]
368,HBM368.LFLJ.489,Stanford TMC,LC-MS
369,HBM884.QXRH.554,Stanford TMC,LC-MS
370,HBM299.DMNX.732,Stanford TMC,LC-MS
371,HBM555.KFGC.548,Stanford TMC,LC-MS
372,HBM654.MLRM.725,Stanford TMC,CODEX [Cytokit + SPRM]
373,HBM429.DWKZ.323,Stanford TMC,CODEX [Cytokit + SPRM]
374,HBM389.XRDV.828,Stanford TMC,ATACseq
375,HBM368.BMZL.342,Stanford TMC,WGS
376,HBM425.BBFN.587,Stanford TMC,LC-MS
377,HBM726.DSKB.293,Stanford TMC,Histology
378,HBM436.MLPG.496,Stanford TMC,LC-MS
379,HBM725.ZXDG.482,Stanford TMC,WGS
380,HBM647.GGLM.655,Stanford TMC,LC-MS
381,HBM474.GHZH.359,Stanford TMC,LC-MS
382,HBM478.MRVG.423,Stanford TMC,LC-MS
383,HBM879.SXLJ.429,Stanford TMC,LC-MS
384,HBM754.SFBF.894,Stanford TMC,CODEX [Cytokit + SPRM]
385,HBM596.PZBR.726,Stanford TMC,WGS
386,HBM294.BRWS.556,Stanford TMC,LC-MS
387,HBM534.DDKT.622,Stanford TMC,LC-MS
388,HBM544.GZCF.842,Stanford TMC,LC-MS
389,HBM637.KJJJ.837,Stanford TMC,LC-MS
390,HBM293.LGZW.236,Stanford TMC,CODEX [Cytokit + SPRM]
391,HBM398.JXVV.636,Stanford TMC,WGS
392,HBM353.FVNP.353,Stanford TMC,LC-MS
393,HBM393.FFWN.576,Stanford TMC,
394,HBM584.XLZR.364,Stanford TMC,ATACseq
395,HBM693.BHLJ.499,Stanford TMC,ATACseq
396,HBM827.PWRL.726,Stanford TMC,ATACseq [SnapATAC]
397,HBM784.TKZX.992,Stanford TMC,CODEX [Cytokit + SPRM]
398,HBM796.XDBG.995,Stanford TMC,LC-MS
399,HBM865.RRJN.777,Stanford TMC,LC-MS
400,HBM442.BSXP.292,Stanford TMC,Histology
401,HBM433.ZLWP.627,Stanford TMC,CODEX [Cytokit + SPRM]
402,HBM868.TNKT.438,Stanford TMC,LC-MS
403,HBM325.KXJK.373,Stanford TMC,LC-MS
404,HBM533.MGCR.574,Stanford TMC,LC-MS
405,HBM998.QMLC.982,Stanford TMC,LC-MS
406,HBM668.FQTB.778,Stanford TMC,LC-MS
407,HBM693.VGQG.275,Stanford TMC,Histology
408,HBM354.CLWV.743,Stanford TMC,Histology
409,HBM626.THPX.276,Stanford TMC,LC-MS
410,HBM484.CJHL.347,Stanford TMC,LC-MS
411,HBM538.RLFQ.294,Stanford TMC,ATACseq [SnapATAC]
412,HBM295.KRDC.622,Stanford TMC,Histology [Image Pyramid]
413,HBM394.JMKJ.386,Stanford TMC,Histology [Image Pyramid]
414,HBM889.KDGM.632,Stanford TMC,CODEX [Cytokit + SPRM]
415,HBM499.FFRG.246,Stanford TMC,Histology
416,HBM765.WLVG.738,Stanford TMC,Histology [Image Pyramid]
417,HBM839.BKRR.972,Stanford TMC,LC-MS
418,HBM762.KNPK.922,Stanford TMC,LC-MS
419,HBM958.VZLG.297,Stanford TMC,RNAseq
420,HBM895.RCSZ.274,Stanford TMC,RNAseq [Salmon]
421,HBM745.RQWF.695,Stanford TMC,RNAseq [Salmon]
422,HBM235.VKNJ.237,Stanford TMC,CODEX
423,HBM427.SRRW.989,Stanford TMC,RNAseq
424,HBM677.NWSV.346,Stanford TMC,
425,HBM595.TCBS.732,Stanford TMC,
426,HBM373.WHJW.659,Stanford TMC,
427,HBM627.KDHD.293,Stanford TMC,CODEX
428,HBM443.HGJN.427,Stanford TMC,
429,HBM269.CVLZ.955,Stanford TMC,
430,HBM282.WSJN.883,Stanford TMC,
431,HBM823.GGSW.733,Stanford TMC,
432,HBM727.QBLQ.529,Stanford TMC,
433,HBM945.QNRF.244,Stanford TMC,RNAseq
